virus,metric,mean,median,std,min,max,q25,q75
Lassa,conservation,0.6163202472188916,0.5766710353866317,0.20391159669345818,0.2671328671328671,1.0,0.43318318318318316,0.7709113653388802
Lassa,entropy,1.507839046200534,1.6207044276035076,0.7051484281889309,0.0,2.9733908179725663,1.1680854520386774,2.0325042236088677
Ebola,conservation,0.9974761133265238,1.0,0.03897979000834727,0.0,1.0,0.9993769470404984,1.0
Ebola,entropy,0.007796123948939364,0.0,0.037230229934171626,0.0,0.5116970510719837,0.0,0.0075330860385177
