PC1,PC2,Virus
-0.7366191,-0.01443857,Ebola
-0.7077306,0.015134567,Ebola
-0.7300982,0.0006447059,Ebola
-0.7300537,0.011160967,Ebola
-0.7300982,0.0006447059,Ebola
-0.7225566,0.01913457,Ebola
-0.73163587,0.020309903,Ebola
-0.7300982,0.0006447059,Ebola
-0.7366191,-0.01443857,Ebola
-0.7007606,0.09968667,Ebola
-0.72875786,0.018959623,Ebola
-0.7366191,-0.01443857,Ebola
-0.7300537,0.011160967,Ebola
-0.73678935,0.018329002,Ebola
-0.7366191,-0.01443857,Ebola
-0.72184604,0.026690416,Ebola
-0.73183614,0.01734038,Ebola
-0.697,0.04178425,Ebola
-0.7366191,-0.01443857,Ebola
-0.7300982,0.0006447059,Ebola
-0.72922856,0.04432269,Ebola
-0.72784,0.006541561,Ebola
-0.7366191,-0.01443857,Ebola
-0.73529524,-0.0065328437,Ebola
-0.7366191,-0.01443857,Ebola
-0.7366191,-0.01443857,Ebola
-0.7366191,-0.01443857,Ebola
-0.7300982,0.0006447059,Ebola
-0.7366191,-0.01443857,Ebola
-0.7366191,-0.01443857,Ebola
-0.7300982,0.0006447059,Ebola
-0.7366191,-0.01443857,Ebola
-0.7121973,0.026095755,Ebola
-0.7300982,0.0006447059,Ebola
-0.7366191,-0.01443857,Ebola
-0.75207996,0.030612476,Ebola
-0.7300982,0.0006447059,Ebola
-0.6019471,-0.16301627,Ebola
-0.7424408,0.0044215503,Ebola
-0.7366191,-0.01443857,Ebola
-0.7366191,-0.01443857,Ebola
-0.7307392,-0.0071477485,Ebola
-0.7366191,-0.01443857,Ebola
-0.73823404,0.022243015,Ebola
-0.7366191,-0.01443857,Ebola
-0.72875786,0.018959623,Ebola
-0.72875786,0.018959623,Ebola
-0.7366191,-0.01443857,Ebola
-0.7368325,0.013020011,Ebola
-0.73529524,-0.0065328437,Ebola
-0.7366191,-0.01443857,Ebola
-0.6913022,-0.000966554,Ebola
-0.7366191,-0.01443857,Ebola
-0.73643583,-0.023698749,Ebola
-0.7300537,0.011160967,Ebola
-0.6939796,0.013203122,Ebola
-0.7300537,0.011160967,Ebola
-0.7300537,0.011160967,Ebola
-0.72394526,0.050290413,Ebola
-0.7300537,0.011160967,Ebola
-0.7261849,0.008204212,Ebola
-0.7238821,0.042728618,Ebola
-0.72875786,0.018959623,Ebola
-0.7300537,0.011160967,Ebola
-0.7300537,0.011160967,Ebola
-0.7300537,0.011160967,Ebola
-0.72875786,0.018959623,Ebola
-0.75342256,0.13968442,Ebola
-0.7300537,0.011160967,Ebola
-0.7225566,0.01913457,Ebola
-0.7300537,0.011160967,Ebola
-0.516891,0.2490132,Ebola
-0.7300537,0.011160967,Ebola
-0.73529524,-0.0065328437,Ebola
-0.6964289,0.043591227,Ebola
-0.7300982,0.0006447059,Ebola
-0.7366191,-0.01443857,Ebola
-0.7366191,-0.01443857,Ebola
-0.7366191,-0.01443857,Ebola
-0.7709337,0.1019597,Ebola
-0.7418378,0.03603916,Ebola
-0.7613944,0.07380395,Ebola
-0.7366191,-0.014438733,Ebola
-0.7366191,-0.014438733,Ebola
-0.7366191,-0.014438733,Ebola
-0.7366191,-0.014438733,Ebola
-0.75787264,0.040974624,Ebola
-0.7656065,0.052082714,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75350404,0.04594882,Ebola
-0.75787264,0.040974624,Ebola
-0.7622777,0.056196064,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7531218,0.048918333,Ebola
-0.75787264,0.040974624,Ebola
-0.76224965,0.047655202,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7622777,0.056196064,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7720749,0.013715349,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7546362,0.03474722,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75350404,0.04594882,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7637726,0.065891266,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7972295,0.0415186,Ebola
-0.75787264,0.040974624,Ebola
-0.7844623,0.070939854,Ebola
-0.75902665,0.034804393,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75327575,0.03315904,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.76762056,0.030925788,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
